Administrative Counties,Single Year of Age,Female,Male,Difference (Female - Male)
Cavan County Council,14,621,641,-20
Cavan County Council,15,643,628,15
Cavan County Council,16,550,611,-61
Cavan County Council,17,590,596,-6
Cavan County Council,18,533,574,-41
Cavan County Council,19,436,479,-43
Cavan County Council,20,388,455,-67
Cavan County Council,21,390,442,-52
Cavan County Council,22,414,441,-27
Cavan County Council,23,439,436,3
Cavan County Council,24,398,429,-31
Cavan County Council,25,403,438,-35
Cavan County Council,26,375,402,-27
Cavan County Council,27,370,380,-10
Cavan County Council,28,363,389,-26
Cavan County Council,29,401,390,11
Cavan County Council,30,425,416,9
Cavan County Council,31,457,450,7
Cavan County Council,32,530,466,64
Cavan County Council,33,489,466,23
Cavan County Council,34,513,475,38
Cavan County Council,35,560,519,41
Cavan County Council,36,602,549,53
Cavan County Council,37,604,578,26
Cavan County Council,38,684,583,101
Cavan County Council,39,656,641,15
Cavan County Council,40,630,633,-3
Cavan County Council,41,702,630,72
Cavan County Council,42,656,624,32
Cavan County Council,43,611,632,-21
Cavan County Council,44,630,586,44
Cavan County Council,45,587,538,49
Cavan County Council,46,565,587,-22
Cavan County Council,47,570,588,-18
Cavan County Council,48,599,562,37
Cavan County Council,49,538,555,-17
Cavan County Council,50,556,604,-48
Cavan County Council,51,580,537,43
Cavan County Council,52,553,557,-4
Cavan County Council,53,491,553,-62
Cavan County Council,54,515,538,-23
Cavan County Council,55,511,542,-31
Cavan County Council,56,488,550,-62
